Date,LQQ3_Price,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount,Signal_Count,MACD_Bullish,SMA_Bullish,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2018-09-04,3691.611083984375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,531709.7338040854,HOLD,0.0,2.0,1.0,1.0,0.06296367635676758,866.7449705528826,677409.5572289614,1131.6537404162934
2018-09-05,3489.200927734375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,502556.2157734774,HOLD,0.0,2.0,1.0,1.0,-0.05482976176123566,813.7385741335953,640267.3525913133,1064.1224592569333
2018-09-06,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,-0.029666940414015963,786.6307463007859,621272.579192947,1029.58650762354
2018-09-07,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-10,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-11,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-12,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-13,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-14,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-17,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-18,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-19,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-20,3385.68701171875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,487646.9104654323,HOLD,0.0,1.0,0.0,1.0,0.0,786.6307463007859,621272.579192947,1029.58650762354
2018-09-21,3520.1279296875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,507010.69041930226,HOLD,0.0,1.0,0.0,1.0,0.03970860788472619,821.8376189441859,645942.4484296523,1074.4408153266404
2018-09-24,3449.1298828125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,496784.70730632165,HOLD,0.0,1.0,0.0,1.0,-0.020169166659037563,803.2449223751304,632914.3275351279,1050.7533227911417
2018-09-25,3474.926025390625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,500500.174562039,HOLD,0.0,1.0,0.0,1.0,0.007479029046331798,810.0003173855255,637647.9121746025,1059.359840317459
2018-09-26,3474.926025390625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,500500.174562039,HOLD,0.0,1.0,0.0,1.0,0.0,810.0003173855255,637647.9121746025,1059.359840317459
2018-09-27,3606.717041015625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,519482.2840642423,HOLD,0.0,2.0,1.0,1.0,0.037926279483945224,844.5132437531679,661831.5251040907,1103.3300456438014
2018-09-28,3617.43505859375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,521026.0204285891,HOLD,0.0,2.0,1.0,1.0,0.002971682407086451,847.3200371428892,663798.2782036976,1106.9059603703593
2018-10-01,3690.173095703125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,531502.617629374,HOLD,0.0,2.0,1.0,1.0,0.020107627623217494,866.368395689771,677145.6867987505,1131.1739759977281
2018-10-02,3679.455078125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,529958.8812650272,HOLD,0.0,2.0,1.0,1.0,-0.002904475562570563,863.5616023000495,675178.9336991435,1127.5980612711699
2018-10-03,3659.0791015625,1.0,1.0,1.4551915228366852e-11,144.03189331369336,527024.090782615,HOLD,0.0,2.0,1.0,1.0,-0.005537770167011402,858.2256196047546,671439.9479427097,1120.7999053503813
2018-10-04,3456.821044921875,1.0,1.0,1.4551915228366852e-11,144.03189331369336,497892.4799467175,HOLD,0.0,1.0,0.0,1.0,-0.05527567210948159,805.2590544485772,634325.6535390212,1053.3193700709476
2018-10-05,3272.455078125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,471337.9006863541,HOLD,0.0,1.0,0.0,1.0,-0.053333963315142174,756.9780012479166,600494.5524033173,991.8082770969406
2018-10-08,3180.0380859375,1.0,1.0,1.4551915228366852e-11,144.03189331369336,458026.9063272316,HOLD,0.0,1.0,0.0,1.0,-0.02824087420031196,732.7761933222392,583536.0612909227,960.9746568925867
2018-10-09,3278.9189453125,1.0,1.0,1.4551915228366852e-11,144.03189331369336,472268.90371549793,HOLD,0.0,1.0,0.0,1.0,0.03109423745969031,758.670734028178,601680.6701469951,993.9648548127185
2018-10-10,2995.551025390625,0.34,0.34,284760.2245651596,48.970843726655744,431454.8857047872,SELL,95.06104958703762,0.0,0.0,0.0,-0.08642114204346962,684.4634285541586,549682.7394874117,899.4231627043849
2018-10-11,2743.72998046875,0.34,0.34,276621.17780011107,51.9372605471834,419122.9966668349,BUY,2.9664168205276553,0.0,0.0,0.0,-0.028582105444948214,662.041812121518,503473.65118947875,815.4066385263251
2018-10-12,2872.947998046875,0.34,0.34,281050.5894986992,50.39549518923074,425834.22651318053,SELL,1.5417653579526558,0.0,0.0,0.0,0.01601255454775341,674.2440482057827,527185.1197277969,858.5183995050853
2018-10-15,2891.083984375,0.34,0.34,281653.8110264548,50.186846277260095,426748.19852493156,SELL,0.2086489119706485,0.0,0.0,0.0,0.0021463094200642185,675.9058154998755,530513.0679295304,864.569214417328
2018-10-16,2959.6279296875,1.0,1.0,0.0,145.35212303425905,430188.2029715669,BUY,95.16527675699896,1.0,0.0,1.0,0.008060970048674676,682.1603690392126,543090.8619030906,887.437930732892
2018-10-17,3030.806884765625,1.0,1.0,0.0,145.35212303425905,440534.2152075325,HOLD,0.0,1.0,0.0,1.0,0.024049967350335377,700.9713003773319,556152.1794001254,911.1857807275006
2018-10-18,2929.125,0.34,0.3400000000000001,280997.99467259785,49.41972183164809,425754.53738272405,SELL,95.93240120261096,0.0,0.0,0.0,-0.033549443640480625,674.0991588776801,537493.5832018105,877.2610603669282
2018-10-19,2940.93310546875,0.34,0.34,281383.13984242996,49.288761637716476,426338.0906703485,SELL,0.13096019393161384,0.0,0.0,0.0,0.0013706331615670475,675.1601648551791,539660.3671114161,881.200667475302
2018-10-22,2955.52587890625,0.34,0.34,281857.8512652821,49.128143378123426,427057.3504019426,SELL,0.16061825959305054,0.0,0.0,0.0,0.001687064204052735,676.4679098217139,542338.1367811208,886.0693396020379
2018-10-23,2756.52197265625,0.34,0.34,275405.23425550474,51.46899793099298,417280.6579628859,BUY,2.3408545528695512,0.0,0.0,0.0,-0.022893160438182236,658.6921053870653,505820.978025018,819.6745055000328
2018-10-24,2742.1259765625,0.34,0.3400000000000001,274916.2089100166,51.647335961290615,416539.71046972217,BUY,0.17833803029763828,0.0,0.0,0.0,-0.0017756574119226487,657.3449281267676,503179.31694049994,814.8714853463636
