Date,LQQ3_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,Cumulative_Return,BuyHold_Value,BuyHold_Return
2013-11-04,596.85498046875,1.0,0.0,106.51855191414117,63576.12822227426,HOLD,0.0043025669771463715,15.592960404135026,109522.71483941282,99.13220879893238
2013-11-05,599.3839721679688,1.0,0.0,106.51855191414117,63845.51275587793,HOLD,0.004237196273762622,16.0827504652326,109986.78407862272,99.9759710520413
2013-11-06,598.4459838867188,1.0,0.0,106.51855191414117,63745.59960244674,HOLD,-0.0015649205264154364,15.901090186266797,109814.66350258367,99.66302455015213
2013-11-07,564.5579833984375,1.0,0.0,106.51855191414117,60135.898863169314,HOLD,-0.056626665397918274,9.337997933035114,103596.22529663787,88.35677326661431
2013-11-08,587.6939697265625,1.0,0.0,106.51855191414117,62600.310623946556,HOLD,0.040980708817285105,13.818746588993736,107841.67204008925,96.07576734561682
2013-11-11,585.5770263671875,1.0,0.0,106.51855191414117,62374.81688282167,HOLD,-0.003602118565824264,13.408757968766682,107453.21355106411,95.36947918375293
2013-11-12,586.9010009765625,1.0,0.0,106.51855191414117,62515.84474098339,HOLD,0.002260974303566421,13.665172256333435,107696.1625057387,95.81120455588854
2013-11-13,608.06298828125,1.0,0.0,106.51855191414117,64769.988984304146,HOLD,0.036057166829627896,17.76361633509844,111579.38100411883,102.87160182567061
2013-11-14,613.4329833984375,1.0,0.0,106.51855191414117,65341.993087972965,HOLD,0.00883131389457903,18.803623796314483,112564.77354192904,104.66322462168915
2013-11-15,617.4099731445312,1.0,0.0,106.51855191414117,65765.61627670426,HOLD,0.006483169072619921,19.573847775825914,113294.55000042255,105.99009090985918
2013-11-18,599.072021484375,1.0,0.0,106.51855191414117,63812.28422079289,HOLD,-0.029701417952093023,16.022334946896176,109929.5412191657,99.87189312575582
2013-11-19,594.281982421875,1.0,0.0,106.51855191414117,63302.056196243226,HOLD,-0.00799576493429166,15.094647629533142,109050.57044824271,98.27376445135039
2013-11-20,588.6489868164062,1.0,0.0,106.51855191414117,62702.03766140997,HOLD,-0.00947865789656388,14.003704838927234,108016.91739753868,96.39439526825215
2013-11-21,607.3250122070312,1.0,0.0,106.51855191414117,64691.38084153108,HOLD,0.031726930325032265,17.620692439147412,111443.96260973517,102.62538656315488
2013-11-22,617.6170043945312,1.0,0.0,106.51855191414117,65787.66894565523,HOLD,0.016946432273715617,19.613943537554967,113332.54017441554,106.05916395348278
2013-11-25,620.5230102539062,1.0,0.0,106.51855191414117,66097.21248164987,HOLD,0.004705190820035732,20.17674996663612,113865.79140205552,107.02871164010092
2013-11-26,630.4249877929688,1.0,0.0,106.51855191414117,67151.95679019716,HOLD,0.01595747035232553,22.094466891267572,115682.8013924979,110.33236616817801
2013-11-27,644.1820068359375,1.0,0.0,106.51855191414117,68617.33453730945,HOLD,0.02182181751889334,24.758790067835367,118207.21037455938,114.92220068101706
2013-11-29,653.77099609375,1.0,0.0,106.51855191414117,69638.73978737189,HOLD,0.014885527934738851,26.615890522494333,119966.78710667742,118.12143110304984
2013-12-02,649.916015625,1.0,0.0,106.51855191414117,69228.11285018334,HOLD,-0.005896530270971478,25.869296091242443,119259.39931499171,116.8352714818031
2013-12-03,648.8670043945312,1.0,0.0,106.51855191414117,69116.37369297215,HOLD,-0.001614071980454157,25.666133987222082,119066.90606015158,116.48528374573016
2013-12-04,650.9229736328125,1.0,0.0,106.51855191414117,69335.37255901388,HOLD,0.0031685526068621073,26.064313743661604,119444.17581573951,117.17122875589001
2013-12-05,647.9290161132812,1.0,0.0,106.51855191414117,69016.46053954096,HOLD,-0.004599557306791402,25.48447370825628,118894.78548411254,116.17233724384097
2013-12-06,662.7230224609375,1.0,0.0,106.51855191414117,70592.29667270192,HOLD,0.0228327578789429,28.349630314003505,121609.48133414013,121.10814788025479
2013-12-09,669.3909912109375,1.0,0.0,106.51855191414117,71302.55904816066,HOLD,0.010061471420200974,29.641016451201207,122833.05165500907,123.33282119092557
2013-12-10,668.2329711914062,1.0,0.0,106.51855191414117,71179.20843259261,HOLD,-0.0017299605682418173,29.416742604713832,122620.55531916909,122.94646421667106
2013-12-11,642.5349731445312,1.0,0.0,106.51855191414117,68441.89489354705,HOLD,-0.03845664484507183,24.439808897358283,117904.98017255432,114.37269122282605
2013-12-12,637.697021484375,1.0,0.0,106.51855191414117,67926.5632884766,HOLD,-0.0075294760010954365,23.502842342684716,117017.21745393543,112.7585771889735
2013-12-13,635.531982421875,1.0,0.0,106.51855191414117,67695.94646270154,HOLD,-0.0033950904419475236,23.083539023093703,116619.93341741429,112.03624257711687
2013-12-16,646.1290283203125,1.0,0.0,106.51855191414117,68824.72844637079,HOLD,0.01667429207583604,25.135869902492345,118564.48824908082,115.5717968165106
2013-12-17,642.4840087890625,1.0,0.0,106.51855191414117,68436.46624420329,HOLD,-0.005641318330373735,24.429938625824164,117895.62822818989,114.35568768761799
2013-12-18,664.864990234375,1.0,0.0,106.51855191414117,70820.45597817523,HOLD,0.034835079378077616,28.76446541486406,122002.5317958472,121.82278508335855
2013-12-19,658.5780029296875,1.0,0.0,106.51855191414117,70150.77519457733,HOLD,-0.00945603603292633,27.546863990140615,120848.87145907743,119.72522083468621
2013-12-20,676.9320068359375,1.0,0.0,106.51855191414117,72105.81711249758,HOLD,0.027869142037241,31.101485659086503,124216.82582281074,125.84877422329228
2013-12-23,698.7960205078125,1.0,0.0,106.51855191414117,74434.74018785669,HOLD,0.03229868502461586,35.33589125064853,128228.86595481927,133.14339264512594
2013-12-24,700.926025390625,1.0,0.0,106.51855191414117,74661.62522354392,HOLD,0.003048106772652437,35.74840949735258,128619.7212295857,133.85403859924673
2013-12-27,701.5859985351562,1.0,0.0,106.51855191414117,74731.92460720161,HOLD,0.0009415731769462088,35.87622655854838,128740.82610912177,134.0742292893123
2013-12-30,699.3090209960938,1.0,0.0,106.51855191414117,74489.38425699965,HOLD,-0.003245471750885298,35.435244103635725,128323.00139479898,133.3145479905436
2013-12-31,712.1510009765625,1.0,0.0,106.51855191414117,75857.29336822957,HOLD,0.018363812842249194,37.92235157859922,130679.50097576874,137.59909268321587
2014-01-02,695.5050048828125,1.0,0.0,106.51855191414117,74084.18596915487,HOLD,-0.02337425078518962,34.69851994391795,127624.9655474777,132.0453919045049
2014-01-03,680.9290161132812,1.0,0.0,106.51855191414117,72531.57275270762,HOLD,-0.020957417512742715,31.87558682310476,124950.2758594498,127.18231974445419
2014-01-06,674.0289916992188,1.0,0.0,106.51855191414117,71796.59214394946,HOLD,-0.010133250677798578,30.53925844354446,123684.12339190593,124.88022434891985
2014-01-07,691.7260131835938,1.0,0.0,106.51855191414117,73681.65324565853,HOLD,0.026255579066059243,33.96664226483368,126931.52167283834,130.78458485970606
2014-01-08,697.3579711914062,1.0,0.0,106.51855191414117,74281.56125709196,HOLD,0.008141891298683479,35.05738410380357,127964.98432467507,132.66360786304557
2014-01-09,688.5490112304688,1.0,0.0,106.51855191414117,73343.24359818325,HOLD,-0.012631905455798731,33.351351996696835,126348.542741033,129.72462316551457
2014-01-10,695.7869873046875,1.0,0.0,106.51855191414117,74114.22232839825,HOLD,0.010511925739729477,34.753131506178626,127676.70923964976,132.13947134481776
2014-01-13,665.0709838867188,1.0,0.0,106.51855191414117,70842.3981237264,HOLD,-0.04414569973053861,28.804360224957072,122040.3315709729,121.89151194722348
2014-01-14,703.573974609375,1.0,0.0,106.51855191414117,74943.68093986735,HOLD,0.057893054509222885,36.261238072486094,129105.61913893487,134.73748934351795
2014-01-15,720.7769775390625,1.0,0.0,106.51855191414117,76776.11990051239,HOLD,0.024450880149793353,39.592945273658884,132262.3651591658,140.47702756211967
2014-01-16,721.6079711914062,1.0,0.0,106.51855191414117,76864.63614100989,HOLD,0.0011529137004084866,39.75388389274526,132414.85225200624,140.7542768218295
2014-01-17,709.5579833984375,1.0,0.0,106.51855191414117,75581.08889071978,HOLD,-0.016698800836517536,37.420161619490514,130203.6830064531,136.733969102642
2014-01-21,725.0969848632812,1.0,0.0,106.51855191414117,77236.28082494666,HOLD,0.021899551309985332,40.42960149990302,133055.08524320196,141.91833680582175
2014-01-22,731.0830078125,1.0,0.0,106.51855191414117,77873.90332122226,HOLD,0.008255479024433354,41.58891512949501,134153.51870852144,143.91548856094806
2014-01-23,722.60400390625,1.0,0.0,106.51855191414117,76970.73210345415,HOLD,-0.011597867568582165,39.94678564264391,132597.6239646807,141.08658902669217
2014-01-24,679.2119750976562,1.0,0.0,106.51855191414117,72348.67603014606,HOLD,-0.06004952722933332,31.543047327538297,124635.19933386869,126.60945333430669
2014-01-27,660.4340209960938,1.0,0.0,106.51855191414117,70348.47555133741,HOLD,-0.02764667701693957,27.90631918424984,121189.45023294335,120.34445496898792
2014-01-28,658.5360107421875,1.0,0.0,106.51855191414117,70146.30224757313,HOLD,-0.002873883224615792,27.538731359223867,120841.16590491847,119.7112107362154
