,Date,LQQ3_Price,Bullish_Count,Target_Allocation,Actual_Allocation,Cash,Shares,Portfolio_Value,Trade_Type,Trade_Amount
1103,2017-05-26,1831.93896484375,2.0,1.0,0.9999999999999999,1.4551915228366852e-11,96.001095270542,175868.14709378296,HOLD,0.0
1104,2017-05-30,1829.137939453125,2.0,1.0,1.0,1.4551915228366852e-11,96.001095270542,175599.24558840232,HOLD,0.0
1105,2017-05-31,1812.39599609375,2.0,1.0,1.0,1.4551915228366852e-11,96.001095270542,173992.00068894494,HOLD,0.0
1106,2017-06-01,1825.3389892578125,2.0,1.0,0.9999999999999999,1.4551915228366852e-11,96.001095270542,175234.54220877413,HOLD,0.0
1107,2017-06-02,1880.9100341796875,2.0,1.0,0.9999999999999999,1.4551915228366852e-11,96.001095270542,180569.4233866026,HOLD,0.0
1108,2017-06-05,1896.260009765625,2.0,1.0,0.9999999999999999,1.4551915228366852e-11,96.001095270542,182043.0378552287,HOLD,0.0
1109,2017-06-06,1905.1009521484375,2.0,1.0,0.9999999999999999,1.4551915228366852e-11,96.001095270542,182891.77800720243,HOLD,0.0
1110,2017-06-07,1883.56005859375,2.0,1.0,0.9999999999999999,1.4551915228366852e-11,96.001095270542,180823.8286328463,HOLD,0.0
1111,2017-06-08,1891.5369873046875,2.0,1.0,1.0,1.4551915228366852e-11,96.001095270542,181589.6225259913,HOLD,0.0
1112,2017-06-09,1919.7850341796875,1.0,0.66,0.66,62662.498428183266,63.36072287855772,184301.46596524492,SELL,32.64037239198427
1113,2017-06-12,1768.9949951171875,1.0,0.66,0.6414107777524615,62662.498428183266,63.36072287855772,174747.30008735895,HOLD,0.0
1114,2017-06-13,1780.802978515625,1.0,0.66,0.6429394951131573,62662.498428183266,63.36072287855772,175495.46245122197,HOLD,0.0
1115,2017-06-14,1803.5400390625,1.0,0.66,0.6458467279040653,62662.498428183266,63.36072287855772,176936.0990436055,HOLD,0.0
1116,2017-06-15,1726.0489501953125,1.0,0.66,0.6357386511673108,62662.498428183266,63.36072287855772,172026.20763633394,HOLD,0.0
1117,2017-06-16,1717.5870361328125,1.0,0.66,0.6345998107113534,62662.498428183266,63.36072287855772,171490.05464439772,HOLD,0.0
1118,2017-06-19,1805.97705078125,1.0,0.66,0.6461555253583465,62662.498428183266,63.36072287855772,177090.50986776903,HOLD,0.0
1119,2017-06-20,1809.89794921875,1.0,0.66,0.6466512197719935,62662.498428183266,63.36072287855772,177338.94082710243,HOLD,0.0
1120,2017-06-21,1813.137939453125,1.0,0.66,0.6470597844908621,62662.498428183266,63.36072287855772,177544.22895047188,HOLD,0.0
1121,2017-06-22,1840.5830078125,1.0,0.66,0.6504830932264218,62662.498428183266,63.36072287855772,179283.16832117332,HOLD,0.0
1122,2017-06-23,1830.636962890625,1.0,0.66,0.6492501914908438,62662.498428183266,63.36072287855772,178652.97972514073,HOLD,0.0
1123,2017-06-26,1822.81103515625,1.0,0.66,0.648273965855718,62662.498428183266,63.36072287855772,178157.12328669537,HOLD,0.0
1124,2017-06-27,1785.1319580078125,1.0,0.66,0.6434966851373125,62662.498428183266,63.36072287855772,175769.74972117343,HOLD,0.0
1125,2017-06-28,1730.06005859375,1.0,0.66,0.636276006863867,62662.498428183266,63.36072287855772,172280.3543640032,HOLD,0.0
1126,2017-06-29,1664.8909912109375,1.0,0.66,0.6273443172733094,62662.498428183266,63.36072287855772,168151.19514530676,HOLD,0.0
1127,2017-06-30,1668.387939453125,1.0,0.66,0.6278347113705542,62662.498428183266,63.36072287855772,168372.76431380067,HOLD,0.0
1128,2017-07-03,1648.1639404296875,1.0,0.66,0.6249806123448184,62662.498428183266,63.36072287855772,167091.3571161804,HOLD,0.0
1129,2017-07-04,1610.4849853515625,1.0,0.66,0.6195447484954557,62662.498428183266,63.36072287855772,164703.9912851217,HOLD,0.0
1130,2017-07-05,1663.6500244140625,1.0,0.66,0.627169979617779,62662.498428183266,63.36072287855772,168072.56659198846,HOLD,0.0
1131,2017-07-06,1627.9549560546875,1.0,0.66,0.622084567703692,62662.498428183266,63.36072287855772,165810.90125753894,HOLD,0.0
1132,2017-07-07,1676.0179443359375,1.0,0.66,0.6289002366912347,62662.498428183266,63.36072287855772,168856.20693874257,HOLD,0.0
1133,2017-07-10,1702.387939453125,1.0,0.66,0.6325362680892657,62662.498428183266,63.36072287855772,170527.02889167162,HOLD,0.0
1134,2017-07-11,1706.2330322265625,1.0,0.66,0.6330605057040722,62662.498428183266,63.36072287855772,170770.65674933174,HOLD,0.0
