Date,LQQ3_Price,TQQQ_Price,Signal,Cash,Shares,Portfolio_Value,Trade_Type,Daily_Return,BuyHold_Value
2016-02-25,985.39697265625,3.485351324081421,1.0,0.0,100.45973339498116,98992.71716126842,HOLD,0.028850456620568288,180820.0570850422
2016-02-26,981.5250244140625,3.47735333442688,1.0,0.0,100.45973339498116,98603.74227313908,HOLD,-0.00392932833125148,180109.55571187948
2016-02-29,957.677001953125,3.3853697776794434,1.0,0.0,100.45973339498116,96207.97629471579,HOLD,-0.0242969072288034,175733.45054572693
2016-03-01,1048.2110595703125,3.7093100547790527,1.0,0.0,100.45973339498116,105303.0035861043,HOLD,0.09453506498803743,192346.4237136393
2016-03-02,1048.6920166015625,3.7133090496063232,1.0,0.0,100.45973339498116,105351.32040123812,HOLD,0.0004588360586914586,192434.67918859943
2016-03-03,1042.425048828125,3.6925127506256104,1.0,0.0,100.45973339498116,104721.74248952365,HOLD,-0.005975985012021456,191284.69242997523
2016-03-04,1044.0989990234375,3.698911428451538,1.0,0.0,100.45973339498116,104889.90707986122,HOLD,0.0016058230730300327,191591.8618025967
2016-03-07,1025.427001953125,3.63012433052063,1.0,0.0,100.45973339498116,103014.12323222576,HOLD,-0.017883358846025876,188165.55578600266
2016-03-08,998.3209838867188,3.53414249420166,1.0,0.0,100.45973339498116,100291.05988387504,HOLD,-0.026433883655079815,183191.60937646203
2016-03-09,1017.8690185546875,3.6017305850982666,1.0,0.0,100.45973339498116,102254.85023501504,HOLD,0.01958091133361073,186778.66803672398
2016-03-10,1013.3560180664062,3.588132381439209,1.0,0.0,100.45973339498116,101801.47540915088,HOLD,-0.004433773310724698,185950.53376337004
2016-03-11,1066.362060546875,3.774097442626953,1.0,0.0,100.45973339498116,107126.44830506181,HOLD,0.05230742358604634,195677.12709898205
2016-03-14,1070.416015625,3.7960939407348633,1.0,0.0,100.45973339498116,107533.70755140549,HOLD,0.0038016685215207513,196421.02667345587
