combination_id,matches_correct,current_price_live,rsi_live,moving_average_live,moving_average_return_live,cumulative_return_live,exponential_moving_average_price_live,max_drawdown_live,stdev_return_live,allocation,error
81,False,False,True,False,True,False,False,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
82,False,False,True,False,True,False,False,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
83,False,False,True,False,True,False,False,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
84,False,False,True,False,True,False,True,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
85,False,False,True,False,True,False,True,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
86,False,False,True,False,True,False,True,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
87,False,False,True,False,True,False,True,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
88,False,False,True,False,True,True,False,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
89,False,False,True,False,True,True,False,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
90,False,False,True,False,True,True,False,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
91,False,False,True,False,True,True,False,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
92,False,False,True,False,True,True,True,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
93,False,False,True,False,True,True,True,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
94,False,False,True,False,True,True,True,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
95,False,False,True,False,True,True,True,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
96,False,False,True,True,False,False,False,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
97,False,False,True,True,False,False,False,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
98,False,False,True,True,False,False,False,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
99,False,False,True,True,False,False,False,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
100,False,False,True,True,False,False,True,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
101,False,False,True,True,False,False,True,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
102,False,False,True,True,False,False,True,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
103,False,False,True,True,False,False,True,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
104,False,False,True,True,False,True,False,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
105,False,False,True,True,False,True,False,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
106,False,False,True,True,False,True,False,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
107,False,False,True,True,False,True,False,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
108,False,False,True,True,False,True,True,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
109,False,False,True,True,False,True,True,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
